FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
302, 0.017638, 160, 3, 10, 300, 1600, 900, 
303, 0.016404, 160, 3, 10, 300, 1600, 900, 
304, 0.016376, 160, 3, 10, 300, 1600, 900, 
305, 0.016193, 160, 3, 10, 300, 1600, 900, 
306, 0.016472, 160, 3, 10, 300, 1600, 900, 
307, 0.016475, 160, 3, 10, 300, 1600, 900, 
308, 0.016389, 160, 3, 10, 300, 1600, 900, 
309, 0.016608, 160, 3, 10, 300, 1600, 900, 
310, 0.016665, 160, 3, 10, 300, 1600, 900, 
311, 0.016243, 160, 3, 10, 300, 1600, 900, 
312, 0.016429, 160, 3, 10, 300, 1600, 900, 
313, 0.016636, 160, 3, 10, 300, 1600, 900, 
314, 0.016764, 160, 3, 10, 300, 1600, 900, 
315, 0.017395, 160, 3, 10, 300, 1600, 900, 
316, 0.017221, 160, 3, 10, 300, 1600, 900, 
317, 0.017424, 160, 3, 10, 300, 1600, 900, 
318, 0.017281, 160, 3, 10, 300, 1600, 900, 
319, 0.017445, 160, 3, 10, 300, 1600, 900, 
320, 0.017357, 160, 3, 10, 300, 1600, 900, 
321, 0.017282, 160, 3, 10, 300, 1600, 900, 
322, 0.017455, 160, 3, 10, 300, 1600, 900, 
323, 0.017073, 160, 3, 10, 300, 1600, 900, 
324, 0.017402, 160, 3, 10, 300, 1600, 900, 
325, 0.017282, 160, 3, 10, 300, 1600, 900, 
326, 0.017484, 160, 3, 10, 300, 1600, 900, 
327, 0.017581, 160, 3, 10, 300, 1600, 900, 
328, 0.017365, 160, 3, 10, 300, 1600, 900, 
329, 0.017331, 160, 3, 10, 300, 1600, 900, 
330, 0.017328, 160, 3, 10, 300, 1600, 900, 
331, 0.017554, 160, 3, 10, 300, 1600, 900, 
332, 0.016471, 160, 3, 10, 300, 1600, 900, 
333, 0.016990, 160, 3, 10, 300, 1600, 900, 
334, 0.017289, 160, 3, 10, 300, 1600, 900, 
335, 0.017389, 160, 3, 10, 300, 1600, 900, 
336, 0.017345, 160, 3, 10, 300, 1600, 900, 
337, 0.017254, 160, 3, 10, 300, 1600, 900, 
338, 0.017221, 160, 3, 10, 300, 1600, 900, 
339, 0.017390, 160, 3, 10, 300, 1600, 900, 
340, 0.017156, 160, 3, 10, 300, 1600, 900, 
341, 0.017356, 160, 3, 10, 300, 1600, 900, 
342, 0.017494, 160, 3, 10, 300, 1600, 900, 
343, 0.017482, 160, 3, 10, 300, 1600, 900, 
344, 0.017432, 160, 3, 10, 300, 1600, 900, 
345, 0.017342, 160, 3, 10, 300, 1600, 900, 
346, 0.017393, 160, 3, 10, 300, 1600, 900, 
347, 0.017856, 160, 3, 10, 300, 1600, 900, 
348, 0.016751, 160, 3, 10, 300, 1600, 900, 
349, 0.017317, 160, 3, 10, 300, 1600, 900, 
350, 0.015637, 160, 3, 10, 300, 1600, 900, 
351, 0.015855, 160, 3, 10, 300, 1600, 900, 
352, 0.016649, 160, 3, 10, 300, 1600, 900, 
353, 0.016436, 160, 3, 10, 300, 1600, 900, 
354, 0.016495, 160, 3, 10, 300, 1600, 900, 
355, 0.016515, 160, 3, 10, 300, 1600, 900, 
356, 0.016553, 160, 3, 10, 300, 1600, 900, 
357, 0.016512, 160, 3, 10, 300, 1600, 900, 
358, 0.016440, 160, 3, 10, 300, 1600, 900, 
359, 0.016902, 160, 3, 10, 300, 1600, 900, 
360, 0.016290, 160, 3, 10, 300, 1600, 900, 
361, 0.016598, 160, 3, 10, 300, 1600, 900, 
362, 0.016335, 160, 3, 10, 300, 1600, 900, 
363, 0.016470, 160, 3, 10, 300, 1600, 900, 
364, 0.016359, 160, 3, 10, 300, 1600, 900, 
365, 0.016328, 160, 3, 10, 300, 1600, 900, 
366, 0.016179, 160, 3, 10, 300, 1600, 900, 
367, 0.016665, 160, 3, 10, 300, 1600, 900, 
