FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
153, 0.034875, 800, 1, 2, 900, 1600, 900, 
154, 0.034722, 800, 1, 2, 900, 1600, 900, 
155, 0.031282, 800, 1, 2, 900, 1600, 900, 
156, 0.035951, 800, 1, 2, 900, 1600, 900, 
157, 0.034141, 800, 1, 2, 900, 1600, 900, 
158, 0.032917, 800, 1, 2, 900, 1600, 900, 
159, 0.033592, 800, 1, 2, 900, 1600, 900, 
160, 0.031490, 800, 1, 2, 900, 1600, 900, 
161, 0.035552, 800, 1, 2, 900, 1600, 900, 
162, 0.030439, 800, 1, 2, 900, 1600, 900, 
163, 0.033854, 800, 1, 2, 900, 1600, 900, 
164, 0.031203, 800, 1, 2, 900, 1600, 900, 
165, 0.035418, 800, 1, 2, 900, 1600, 900, 
166, 0.034195, 800, 1, 2, 900, 1600, 900, 
167, 0.029409, 800, 1, 2, 900, 1600, 900, 
168, 0.029033, 800, 1, 2, 900, 1600, 900, 
169, 0.029644, 800, 1, 2, 900, 1600, 900, 
170, 0.027588, 800, 1, 2, 900, 1600, 900, 
171, 0.034940, 800, 1, 2, 900, 1600, 900, 
172, 0.029811, 800, 1, 2, 900, 1600, 900, 
173, 0.029756, 800, 1, 2, 900, 1600, 900, 
174, 0.029578, 800, 1, 2, 900, 1600, 900, 
175, 0.029163, 800, 1, 2, 900, 1600, 900, 
176, 0.033596, 800, 1, 2, 900, 1600, 900, 
177, 0.033128, 800, 1, 2, 900, 1600, 900, 
178, 0.036431, 800, 1, 2, 900, 1600, 900, 
179, 0.031071, 800, 1, 2, 900, 1600, 900, 
180, 0.027039, 800, 1, 2, 900, 1600, 900, 
181, 0.032964, 800, 1, 2, 900, 1600, 900, 
182, 0.029708, 800, 1, 2, 900, 1600, 900, 
